id,subject_user,recommendation_time,clicked_user,click_time
498,75cdb940413079b3da0a17ca67876792,"16:20 30 Apr 2018",f3abe9d7049d18069274d7808aecbfe1,"16:20 30 Apr 2018"
500,75cdb940413079b3da0a17ca67876792,"16:24 30 Apr 2018",5d7ebca4616338ec94b0c0e29547684d,"16:24 30 Apr 2018"
501,75cdb940413079b3da0a17ca67876792,"16:24 30 Apr 2018",3cac40ce4875d335f8d701062327c9ee,"16:24 30 Apr 2018"
574,7c3fb05b44f1c29aecadaddc29d0ec27,"10:36 3 May 2018",bc3e020a4a2673c05eede3450d40af3d,"10:36 3 May 2018"
575,7c3fb05b44f1c29aecadaddc29d0ec27,"10:36 3 May 2018",e4225d6fd5f511c413a9415f8e081e59,"10:36 3 May 2018"
611,b79d8ff5986e38440ab5cc6c25b09eba,"9:11 4 May 2018",ab920a7925a2dd9771f236412cd7babc,"9:11 4 May 2018"
616,3cac40ce4875d335f8d701062327c9ee,"11:26 4 May 2018",9b8c08445d7b223a57492fc03990eda6,"11:26 4 May 2018"
618,3cac40ce4875d335f8d701062327c9ee,"11:27 4 May 2018",703459d5a6b9ac1882cedb227f766e51,"11:28 4 May 2018"
651,3cac40ce4875d335f8d701062327c9ee,"14:56 7 May 2018",79963969f3f31d65d414bfa097124b5f,"14:56 7 May 2018"
654,75cdb940413079b3da0a17ca67876792,"15:55 7 May 2018",30afe271b5a3eedb24cf18fbbd27e55c,"15:56 7 May 2018"
668,3cac40ce4875d335f8d701062327c9ee,"8:35 8 May 2018",30afe271b5a3eedb24cf18fbbd27e55c,"8:36 8 May 2018"
669,3cac40ce4875d335f8d701062327c9ee,"8:36 8 May 2018",75cdb940413079b3da0a17ca67876792,"8:40 8 May 2018"
672,48cc7915177a39115e42af50183b7b41,"9:00 8 May 2018",6d96d78bce958615e727152f995bd041,"9:02 8 May 2018"
679,326183a59c442a86666097a5c8979009,"10:05 8 May 2018",3cac40ce4875d335f8d701062327c9ee,"10:06 8 May 2018"
678,326183a59c442a86666097a5c8979009,"10:05 8 May 2018",3cac40ce4875d335f8d701062327c9ee,"10:06 8 May 2018"
683,326183a59c442a86666097a5c8979009,"10:07 8 May 2018",3cac40ce4875d335f8d701062327c9ee,"10:07 8 May 2018"
684,326183a59c442a86666097a5c8979009,"10:07 8 May 2018",75cdb940413079b3da0a17ca67876792,"10:07 8 May 2018"
695,fb8f2140ea621422c3b8c7eb1e7461cb,"17:30 8 May 2018",3cac40ce4875d335f8d701062327c9ee,"17:30 8 May 2018"
704,30afe271b5a3eedb24cf18fbbd27e55c,"17:32 8 May 2018",75cdb940413079b3da0a17ca67876792,"17:32 8 May 2018"
705,30afe271b5a3eedb24cf18fbbd27e55c,"17:32 8 May 2018",950c8148b4c7703590bbe92d54ca1ef7,"17:32 8 May 2018"
715,70670b4a9f06ff664975cc7425de6f37,"17:34 8 May 2018",950c8148b4c7703590bbe92d54ca1ef7,"17:34 8 May 2018"
731,752fd1e39971452cdd8a652436c33a07,"17:39 8 May 2018",30afe271b5a3eedb24cf18fbbd27e55c,"17:39 8 May 2018"
769,950c8148b4c7703590bbe92d54ca1ef7,"13:31 10 May 2018",752fd1e39971452cdd8a652436c33a07,"13:32 10 May 2018"
778,4336b31ba067c28f32c8ab85d314903a,"17:55 10 May 2018",f44942350a1a59285520eb920deff9a8,"17:56 10 May 2018"
791,70670b4a9f06ff664975cc7425de6f37,"11:39 11 May 2018",1f667d4f341d00c744a6420a67f1764b,"11:39 11 May 2018"
794,70670b4a9f06ff664975cc7425de6f37,"11:40 11 May 2018",f3abe9d7049d18069274d7808aecbfe1,"11:40 11 May 2018"
837,70670b4a9f06ff664975cc7425de6f37,"16:30 14 May 2018",ad8783991619bcb350581e4187c1082a,"16:30 14 May 2018"
871,fb030203e5334469c6f8d71510ad495b,"17:52 16 May 2018",f3abe9d7049d18069274d7808aecbfe1,"17:53 16 May 2018"
924,3cac40ce4875d335f8d701062327c9ee,"17:26 21 May 2018",26f816377ab9bffd0e574925db669301,"17:27 21 May 2018"
931,950c8148b4c7703590bbe92d54ca1ef7,"0:28 22 May 2018",70670b4a9f06ff664975cc7425de6f37,"0:28 22 May 2018"
935,3cac40ce4875d335f8d701062327c9ee,"12:52 22 May 2018",6d96d78bce958615e727152f995bd041,"12:52 22 May 2018"
939,eaaf7ddd189a261280320805f2f7c2c8,"23:16 22 May 2018",6d96d78bce958615e727152f995bd041,"23:16 22 May 2018"
940,eaaf7ddd189a261280320805f2f7c2c8,"23:19 22 May 2018",f3abe9d7049d18069274d7808aecbfe1,"23:19 22 May 2018"
946,3cac40ce4875d335f8d701062327c9ee,"15:50 23 May 2018",4f7edaaed5a68b33ee6ae368a6e657db,"15:50 23 May 2018"
955,781773bc0af21dbc8767a22127adc63c,"20:23 25 May 2018",3cac40ce4875d335f8d701062327c9ee,"20:23 25 May 2018"
984,3cac40ce4875d335f8d701062327c9ee,"8:42 30 May 2018",ab920a7925a2dd9771f236412cd7babc,"8:49 30 May 2018"
998,3cac40ce4875d335f8d701062327c9ee,"13:01 4 Jun 2018",918a3adb919e2eb9cb0c776e20ec82d6,"13:04 4 Jun 2018"
1024,3cac40ce4875d335f8d701062327c9ee,"11:21 12 Jun 2018",1453fa97b1d15e7f65a0e9a68049e84d,"11:21 12 Jun 2018"
1030,b79d8ff5986e38440ab5cc6c25b09eba,"12:18 18 Jun 2018",d51a061a2273955e17ec09164d8ce689,"12:18 18 Jun 2018"
1092,703459d5a6b9ac1882cedb227f766e51,"14:46 3 Jul 2018",afb60791627ff021468f3deeef8be4d4,"14:46 3 Jul 2018"
1108,3cac40ce4875d335f8d701062327c9ee,"12:42 23 Jul 2018",afb60791627ff021468f3deeef8be4d4,"12:43 23 Jul 2018"
